freq (Hz),v (m/s),Thrust force (N)
91,57,-66.21868645
91,58,-64.7735135
91,59,-63.43574553
91,60,-62.19002783
91,61,-61.02193985
91,62,-59.91847401
91,63,-58.8683042
91,64,-57.86188586
91,65,-56.89142978
96,0,114.3364268
96,1,120.0436877
96,2,126.6889833
96,3,134.311802
96,4,143.0043597
96,5,152.91283
96,6,164.2386546
96,7,177.2441515
96,8,192.2606104
96,9,209.7095911
96,10,230.1717726
96,11,254.5052049
96,12,282.8227901
96,13,316.1865117
96,14,358.7795608
96,15,393.1172713
96,16,358.6288199
96,17,204.3900056
96,18,-5.231765807
96,19,-152.0806464
96,20,-243.5764533
96,21,-351.7746911
96,22,-463.0307854
96,23,-514.2125967
96,24,-489.7642366
96,25,-424.9770097
96,26,-357.6646904
96,27,-303.6949521
96,28,-263.1251284
96,29,-232.412233
96,30,-209.5666434
96,31,-193.6334135
96,32,-183.2238885
